"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cds-exercice-professionnel.boiteLettresMSS","cds-exercice-professionnel.boiteLettresMSS","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/BoiteLettreMSS {[]} {[]}
","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à l'exercice professionnel du professionnel.","Boîte(s) aux lettres du service de messagerie sécurisée de santé (MSS) rattachée(s) à l'exercice professionnel du professionnel.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.boiteLettresMSS",0,*,"",""
"cds-exercice-professionnel.InscriptionOrdre","cds-exercice-professionnel.InscriptionOrdre","","","",0,*,"","","","Base {[]} {[]}
","Eléments permettant de retrouver les informations d'inscription à un ordre par rapport à la profession de la personne physique sur une période et un département donnéSynonymes RPPS : Inscription à ordre","Eléments permettant de retrouver les informations d'inscription à un ordre par rapport à la profession de la personne physique sur une période et un département donnéSynonymes RPPS : Inscription à ordre","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.InscriptionOrdre",0,*,"",""
"cds-exercice-professionnel.InscriptionOrdre.ordre","cds-exercice-professionnel.InscriptionOrdre.ordre","","","",0,1,"","","","Coding {[]} {[]}
","Instance de régulation d'une profession de santé réglementée.","Instance de régulation d'une profession de santé réglementée.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R82-Ordre/FHIR/TRE-R82-Ordre?vs","",,,,"ExerciceProfessionnel.InscriptionOrdre.ordre",0,1,"",""
"cds-exercice-professionnel.InscriptionOrdre.dateDebutInscription","cds-exercice-professionnel.InscriptionOrdre.dateDebutInscription","","","",0,1,"","","","date {[]} {[]}
","Date d’inscription de la personne au tableau de l’ordre.","Date d’inscription de la personne au tableau de l’ordre.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.InscriptionOrdre.dateDebutInscription",0,1,"",""
"cds-exercice-professionnel.InscriptionOrdre.dateRadiation","cds-exercice-professionnel.InscriptionOrdre.dateRadiation","","","",0,1,"","","","date {[]} {[]}
","Date à partir de laquelle la personne n’est plus autorisée à exercer la profession pour laquelle elle a été inscrite.","Date à partir de laquelle la personne n’est plus autorisée à exercer la profession pour laquelle elle a été inscrite.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.InscriptionOrdre.dateRadiation",0,1,"",""
"cds-exercice-professionnel.InscriptionOrdre.statutInscription","cds-exercice-professionnel.InscriptionOrdre.statutInscription","","","",0,1,"","","","Coding {[]} {[]}
","Information indiquant l’avancement du traitement du dossier d'inscription de la personne.","Information indiquant l’avancement du traitement du dossier d'inscription de la personne.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R33-StatutInscription/FHIR/TRE-R33-StatutInscription?vs","",,,,"ExerciceProfessionnel.InscriptionOrdre.statutInscription",0,1,"",""
"cds-exercice-professionnel.InscriptionOrdre.conseilDepartemental","cds-exercice-professionnel.InscriptionOrdre.conseilDepartemental","","","",0,1,"","","","Coding {[]} {[]}
","Département du Conseil départemental.","Département du Conseil départemental.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_G09-DepartementOM/FHIR/TRE-G09-DepartementOM?vs","",,,,"ExerciceProfessionnel.InscriptionOrdre.conseilDepartemental",0,1,"",""
"cds-exercice-professionnel.AttributionParticuliere","cds-exercice-professionnel.AttributionParticuliere","","","",0,1,"","","","Base {[]} {[]}
","Activités ponctuelles du professionnel de type expertise.","Activités ponctuelles du professionnel de type expertise.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.AttributionParticuliere",0,1,"",""
"cds-exercice-professionnel.AttributionParticuliere.attributionParticuliere","cds-exercice-professionnel.AttributionParticuliere.attributionParticuliere","","","",0,1,"","","","Coding {[]} {[]}
","Attribution particulière.Par exemple : **Agrément : Autorisation d’un médecin généraliste ou spécialiste, formalisée par un agrément, à figurer sur une liste départementale établie par le Préfet sur proposition du directeur départemental de l'action sanitaire et sociale et après avis du conseil départemental de l'ordre des médecins et des syndicats départementaux des médecins.","Attribution particulière.Par exemple : **Agrément : Autorisation d’un médecin généraliste ou spécialiste, formalisée par un agrément, à figurer sur une liste départementale établie par le Préfet sur proposition du directeur départemental de l'action sanitaire et sociale et après avis du conseil départemental de l'ordre des médecins et des syndicats départementaux des médecins.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R03-AttributionParticuliere/FHIR/TRE-R03-AttributionParticuliere?vs","",,,,"ExerciceProfessionnel.AttributionParticuliere.attributionParticuliere",0,1,"",""
"cds-exercice-professionnel.AttributionParticuliere.dateDebutReconnaissance","cds-exercice-professionnel.AttributionParticuliere.dateDebutReconnaissance","","","",0,1,"","","","date {[]} {[]}
","Date à partir de laquelle l'attribution particulière prend effet.","Date à partir de laquelle l'attribution particulière prend effet.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.AttributionParticuliere.dateDebutReconnaissance",0,1,"",""
"cds-exercice-professionnel.AttributionParticuliere.dateAbandon","cds-exercice-professionnel.AttributionParticuliere.dateAbandon","","","",0,1,"","","","date {[]} {[]}
","Date à laquelle le professionnel ne veut plus faire apparaître cette attribution.","Date à laquelle le professionnel ne veut plus faire apparaître cette attribution.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.AttributionParticuliere.dateAbandon",0,1,"",""
"cds-exercice-professionnel.NiveauFormation","cds-exercice-professionnel.NiveauFormation","","","",0,*,"","","","Base {[]} {[]}
","Le niveau de formation décrit le niveau de formation de l’étudiant, comme demandé par le décret n°2010-701 et complété par le décret n°2011-462.","Le niveau de formation décrit le niveau de formation de l’étudiant, comme demandé par le décret n°2010-701 et complété par le décret n°2011-462.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.NiveauFormation",0,*,"",""
"cds-exercice-professionnel.NiveauFormation.diplome","cds-exercice-professionnel.NiveauFormation.diplome","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Diplome {[]} {[]}
","Diplôme acquis pour les cycles terminés (cas des diplômes de deuxième cycle pour étudiants qui font un troisième cycle) ou diplôme préparé pour les cycles en cours.","Diplôme acquis pour les cycles terminés (cas des diplômes de deuxième cycle pour étudiants qui font un troisième cycle) ou diplôme préparé pour les cycles en cours.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.NiveauFormation.diplome",0,1,"",""
"cds-exercice-professionnel.NiveauFormation.natureCycleFormation","cds-exercice-professionnel.NiveauFormation.natureCycleFormation","","","",0,1,"","","","Coding {[]} {[]}
","Nature du cycle de formation:- Deuxième cycle,- Troisième cycle court,- Troisième cycle long/Internat.","Nature du cycle de formation:- Deuxième cycle,- Troisième cycle court,- Troisième cycle long/Internat.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R223-NatCycleForm/FHIR/TRE-R223-NatCycleForm?vs","",,,,"ExerciceProfessionnel.NiveauFormation.natureCycleFormation",0,1,"",""
"cds-exercice-professionnel.NiveauFormation.niveauFormationAcquis","cds-exercice-professionnel.NiveauFormation.niveauFormationAcquis","","","",0,1,"","","","Coding {[]} {[]}
","Niveau de validité dans le cycle de formation.","Niveau de validité dans le cycle de formation.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R224-NiveauFormAcquis/FHIR/TRE-R224-NiveauFormAcquis?vs","",,,,"ExerciceProfessionnel.NiveauFormation.niveauFormationAcquis",0,1,"",""
"cds-exercice-professionnel.NiveauFormation.anneeUniversitaire","cds-exercice-professionnel.NiveauFormation.anneeUniversitaire","","","",0,1,"","","","Coding {[]} {[]}
","Année universitaire, exemple : 2015-2016.","Année universitaire, exemple : 2015-2016.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R225-AnneeUniversitaire/FHIR/TRE-R225-AnneeUniversitaire?vs","",,,,"ExerciceProfessionnel.NiveauFormation.anneeUniversitaire",0,1,"",""
"cds-exercice-professionnel.NiveauFormation.dateFin","cds-exercice-professionnel.NiveauFormation.dateFin","","","",0,1,"","","","date {[]} {[]}
","Date à laquelle le niveau de formation n’est plus actif (non visible hormis dans les données historisées). Cette date est renseignée par l’ordre à la clôture de l’exercice professionnel.","Date à laquelle le niveau de formation n’est plus actif (non visible hormis dans les données historisées). Cette date est renseignée par l’ordre à la clôture de l’exercice professionnel.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.NiveauFormation.dateFin",0,1,"",""
"cds-exercice-professionnel.SituationExercice","cds-exercice-professionnel.SituationExercice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/SituationExercice {[]} {[]}
","Lien vers la classe SituationExercice","Lien vers la classe SituationExercice","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.SituationExercice",0,*,"",""
"cds-exercice-professionnel.Certificat","cds-exercice-professionnel.Certificat","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Certificat {[]} {[]}
","Lien vers la classe Certificat","Lien vers la classe Certificat","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.Certificat",0,*,"",""
"cds-exercice-professionnel.SavoirFaire","cds-exercice-professionnel.SavoirFaire","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/SavoirFaire {[]} {[]}
","Lien vers la classe SavoirFaire","Lien vers la classe SavoirFaire","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.SavoirFaire",0,*,"",""
"cds-exercice-professionnel.CarteProfessionnel","cds-exercice-professionnel.CarteProfessionnel","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/CarteProfessionnel {[]} {[]}
","Lien vers la classe CarteProfessionnel","Lien vers la classe CarteProfessionnel","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.CarteProfessionnel",0,*,"",""
"cds-exercice-professionnel.Professionnel","cds-exercice-professionnel.Professionnel","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Professionnel {[]} {[]}
","Lien vers la classe Professionnel","Lien vers la classe Professionnel","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.Professionnel",1,1,"",""
"cds-exercice-professionnel.SituationOperationnelle","cds-exercice-professionnel.SituationOperationnelle","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/SituationOperationnelle {[]} {[]}
","Lien vers la classe SituationOperationnelle","Lien vers la classe SituationOperationnelle","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.SituationOperationnelle",0,*,"",""
"cds-exercice-professionnel.CDSSituationExercice","cds-exercice-professionnel.CDSSituationExercice","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-situation-exercice {[]} {[]}
","Lien vers le concept Situation Exercice","Lien vers le concept Situation Exercice","","","","","","","","","",,,,,"",,,,"cds-exercice-professionnel.CDSSituationExercice",1,1,"",""
"cds-exercice-professionnel.CDSProfessionnel","cds-exercice-professionnel.CDSProfessionnel","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/cds/StructureDefinition/cds-professionnel {[]} {[]}
","Lien vers le concept Professionnel","Lien vers le concept Professionnel","","","","","","","","","",,,,,"",,,,"cds-exercice-professionnel.CDSProfessionnel",1,1,"",""
